page_id,section_id,content_type,title,subtitle,description,image_url,image_alt,order_position,is_active
homepage,hero,hero_section,ELISA SANNA,The Art of Italian Craftsmanship,"Welcome to a world where tradition meets innovation, where every stitch tells a story of passion and excellence.",https://images.unsplash.com/photo-1558618666-fcd25c85cd64?ixlib=rb-4.0.3&auto=format&fit=crop&w=1200&q=80,Italian craftsmanship atelier,1,true
homepage,two_column_1,two_column,Personalized For You,,,,,2,true
homepage,two_column_2,two_column,Made To Measure,,,,,3,true
homepage,couture_section,section_header,Couture e Cerimonia,,Curated looks for special occasions and refined experiences,,,4,true
homepage,craftsmanship_section,section_header,Our Craftsmanship and Values,,Curated looks for women with our artisans,,,5,true
homepage,journey_section,section_header,Our Journey,,Discover the story behind each creation through our craftsmanship journey,,,6,true
homepage,latest_pieces_section,section_header,Be Inspired With Our Latest Pieces,,"Discover the fashion that expresses different life goals, stories of style, handcrafted with care, designed to inspire.",,,7,true
homepage,journey_step_1,journey_step,01. DESIGN & CONCEPTION,,"Every creation begins with a spark of inspiration. Our designers carefully study fashion trends, client preferences, and artistic vision to create unique concepts that blend tradition with modernity.",https://images.unsplash.com/photo-1558618666-fcd25c85cd64?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80,Design and conception process,8,true
homepage,journey_step_2,journey_step,02. MATERIAL SELECTION,,"We source the finest fabrics from renowned Italian mills, selecting each material for its quality, texture, and ability to bring our designs to life. Only the best materials meet our standards.",https://images.unsplash.com/photo-1581833971358-2c8b550f87b3?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80,Material selection process,9,true
homepage,journey_step_3,journey_step,03. HANDCRAFT & EMBROIDERY,,"Our master artisans bring each piece to life through meticulous handwork. Every stitch, every embroidered detail, and every finish is crafted with the precision of generations of Italian craftsmanship.",https://images.unsplash.com/photo-1434389677669-e08b4cac3105?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80,Handcraft and embroidery,10,true
homepage,journey_step_4,journey_step,04. FINAL CREATION,,"After careful attention to every detail, our creations are born. Each piece represents not just a garment, but a story of passion, tradition, and the pursuit of perfection that defines Elisa Sanna.",https://images.unsplash.com/photo-1558769132-cb1aea458c5e?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80,Final creation process,11,true
homepage,latest_piece_1,latest_piece,COLLECTION,,A bold statement piece that embodies confidence and elegance for the modern woman.,https://images.unsplash.com/photo-1469334031218-e382a71b716b?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=2070&q=80,Red dress,12,true
homepage,latest_piece_2,latest_piece,READY-TO-WEAR,,Effortless sophistication meets contemporary design in this versatile ensemble.,https://images.unsplash.com/photo-1515372039744-b8f02a3ae446?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=1988&q=80,White dress,13,true
made_to_measure,hero,hero_section,ELISA SANNA,MADE TO MEASURE,Made to Measure is our solution to ethical elegance crafted especially for you.,https://images.unsplash.com/photo-1594633312681-425c7b97ccd1?ixlib=rb-4.0.3&auto=format&fit=crop&w=1200&q=80,Made to measure hero,1,true
