id,name,category,description,image,image_2,image_3,video_url,prices_standard,prices_minimum,prices_maximum,colors,sizes,fabric,
pc001,ABITO IN DOPPIO CREPE DI LANA CON CRISTALLI,prive_ceremonial,Adorable mini suit perfect for special occasions,https://res.cloudinary.com/do5fpt0co/image/upload/v1756048634/E91E59FD-77AE-4280-851A-65C729214A6B_yolopv.jpg,https://res.cloudinary.com/do5fpt0co/image/upload/v1756651019/ELI_00925-1_1_qqzbo5.jpg,https://res.cloudinary.com/do5fpt0co/image/upload/v1756736721/ELI_00912-1_n4yygp_ncto5i.jpg,,970,950,1250,"Midnight Black,Burgundy,Navy Blue,Emerald Green","XS,S,M,L,XL",100% Linen,order
pc002,TOP IN ORGANZA DI SETA CON PASSAMANERIA,prive_ceremonial,Adorable mini suit perfect for special occasions,https://res.cloudinary.com/do5fpt0co/image/upload/v1756806026/B132DD58-F396-4300-90FC-37BD669E50F4_pysydr.jpg,https://res.cloudinary.com/do5fpt0co/image/upload/v1756806024/ELI_00519-1_fdhfbo.jpg,https://res.cloudinary.com/do5fpt0co/image/upload/v1756806030/ELI_00567-1_v10nop.jpg,,850,850,1100,"Charcoal Gray,Deep Navy,Classic Black","XS,S,M,L,XL,XXL",100% Linen,order
pc003,ABITO IN DOPPIO CREPE DI LANA CON DETTAGLIO GIOIELLO,prive_ceremonial,Adorable mini suit perfect for special occasions,https://res.cloudinary.com/do5fpt0co/image/upload/v1756737527/ELI_00986_2_hwzjkp_cuhl6s.jpg,https://res.cloudinary.com/do5fpt0co/image/upload/v1756737526/ELI_00963-1_m9yt7n_zre4mt.jpg,https://res.cloudinary.com/do5fpt0co/image/upload/v1756737531/ELI_00995-1_vry2cc_r1ayah.jpg,,950,950,1200,"Charcoal Gray,Deep Navy,Classic Black","XS,S,M,L,XL,XXL",100% Linen,order
pc004,ABITO IN LANA E SETA CON RICAMI A MANO,prive_ceremonial,Adorable mini suit perfect for special occasions,https://res.cloudinary.com/do5fpt0co/image/upload/v1756655940/ELI_01048-1_jsjdub.jpg,https://res.cloudinary.com/do5fpt0co/image/upload/v1756817614/ELI_01011_1_czz9g4.jpg,https://res.cloudinary.com/do5fpt0co/image/upload/v1756806334/ELI_01044-1_fpbcjb.jpg,,1150,1150,1400,"Charcoal Gray,Deep Navy,Classic Black","XS,S,M,L,XL,XXL",100% Linen,order
pc005,TOP CON VOLANTS IN SETA,prive_ceremonial,Adorable mini suit perfect for special occasions,https://res.cloudinary.com/do5fpt0co/image/upload/v1756730552/ELISA__104336_1_yzv7rj.jpg,https://res.cloudinary.com/do5fpt0co/image/upload/v1756730669/ELISA__104351_lprqxe.jpg,https://res.cloudinary.com/do5fpt0co/image/upload/v1756730518/ELISA__104332_2_1_ohhwgg.jpg,,690,690,920,"Charcoal Gray,Deep Navy,Classic Black","XS,S,M,L,XL,XXL",100% Linen,order
pc006,ABITO LUNGO CON SCOLLO IN SETA,prive_ceremonial,Adorable mini suit perfect for special occasions,https://res.cloudinary.com/do5fpt0co/image/upload/v1756730710/ELI_01076_ce6gou.jpg,https://res.cloudinary.com/do5fpt0co/image/upload/v1756730705/ELI_01058_1_l0dawr.jpg,https://res.cloudinary.com/do5fpt0co/image/upload/v1756730749/ELI_01064_nl4piz.jpg,,1150,1150,1350,"Charcoal Gray,Deep Navy,Classic Black","XS,S,M,L,XL,XXL",100% Linen,order
pc007,TOP IN CREPE CADY CON SCOLLATURA PROFONDA E CRISTALLI,prive_ceremonial,Adorable mini suit perfect for special occasions,https://res.cloudinary.com/do5fpt0co/image/upload/v1756729149/06122022_Elisa_Sanna5514bis_copia_1_h5w44s.jpg,https://res.cloudinary.com/do5fpt0co/image/upload/v1756729158/06122022_Elisa_Sanna5527BIS_copia_krgczk.jpg,https://res.cloudinary.com/do5fpt0co/image/upload/v1756729160/06122022_Elisa_Sanna5534BIS_copia_pjxrut.jpg,,540,540,690,"Charcoal Gray,Deep Navy,Classic Black","XS,S,M,L,XL,XXL",100% Linen,order
pc008,TOP IN CREPE CADY CON CRISTALLI SU SCOLLATURA,prive_ceremonial,Adorable mini suit perfect for special occasions,https://res.cloudinary.com/do5fpt0co/image/upload/v1756808482/06122022_Elisa_Sanna5252BIS_2_dtrmbk.jpg,https://res.cloudinary.com/do5fpt0co/image/upload/v1756808489/06122022_Elisa_Sanna5264BIS_rxw8kz.jpg,https://res.cloudinary.com/do5fpt0co/image/upload/v1756809564/05122022_Elisa_Sanna4615_copia_1_h9dvrk.jpg,,620,620,800,"Charcoal Gray,Deep Navy,Classic Black","XS,S,M,L,XL,XXL",100% Linen,order
pc009,TOP/SCIARPA IN SETA CON CRISTALLI,prive_ceremonial,Adorable mini suit perfect for special occasions,https://res.cloudinary.com/do5fpt0co/image/upload/v1756815279/06122022_Elisa_Sanna5500BIS_2_fmyyon.jpg,https://res.cloudinary.com/do5fpt0co/image/upload/v1756722780/06122022_Elisa_Sanna5510bis_kl2t7o.jpg,https://res.cloudinary.com/do5fpt0co/image/upload/v1756815713/06122022_Elisa_Sanna5467BIS_copiaBIS_v1m2dq.jpg,,520,520,620,"Charcoal Gray,Deep Navy,Classic Black","XS,S,M,L,XL,XXL",100% Linen,order
pc010,TOP/SCIARPA IN SETA CON CRISTALLI,prive_ceremonial,Adorable mini suit perfect for special occasions,https://res.cloudinary.com/do5fpt0co/image/upload/v1756816547/06122022_Elisa_Sanna5619BIS_1_lk5nij.jpg,https://res.cloudinary.com/do5fpt0co/image/upload/v1756816733/06122022_Elisa_Sanna5625BIS_zyhk9h.jpg,https://res.cloudinary.com/do5fpt0co/image/upload/v1756816736/06122022_Elisa_Sanna5592BIS_h1cycg.jpg,,520,520,620,"Charcoal Gray,Deep Navy,Classic Black","XS,S,M,L,XL,XXL",100% Linen,order
